Timestamp (IST),Heart Rate (bpm),SpO₂ (%)
2025-09-04T11:00:35+05:30,94,
2025-09-04T11:00:36+05:30,95,
2025-09-04T11:00:37+05:30,96,
2025-09-04T11:00:39+05:30,99,
2025-09-04T11:00:43+05:30,100,
2025-09-04T11:00:44+05:30,102,
2025-09-04T11:05:09+05:30,92,
2025-09-04T11:10:17+05:30,90,
2025-09-04T11:15:17+05:30,93,
2025-09-04T11:20:17+05:30,93,
2025-09-04T11:25:17+05:30,87,
2025-09-04T11:30:16+05:30,,99
2025-09-04T11:30:24+05:30,107,
2025-09-04T11:30:25+05:30,106,
2025-09-04T11:30:26+05:30,105,
2025-09-04T11:35:17+05:30,91,
2025-09-04T11:40:17+05:30,93,
2025-09-04T11:45:17+05:30,86,
2025-09-04T11:45:24+05:30,110,
2025-09-04T11:45:25+05:30,113,
2025-09-04T11:45:26+05:30,115,
2025-09-04T11:45:27+05:30,117,
2025-09-04T11:45:28+05:30,118,
2025-09-04T11:45:29+05:30,120,
2025-09-04T11:45:30+05:30,121,
2025-09-04T11:45:32+05:30,124,
2025-09-04T11:50:17+05:30,93,
2025-09-04T11:55:08+05:30,120,
2025-09-04T12:00:16+05:30,,99
2025-09-04T12:00:26+05:30,111,
2025-09-04T12:00:27+05:30,112,
2025-09-04T12:00:30+05:30,113,
2025-09-04T12:05:09+05:30,112,
2025-09-04T12:10:17+05:30,97,
2025-09-04T12:15:17+05:30,87,
2025-09-04T12:20:17+05:30,88,
2025-09-04T12:25:17+05:30,83,
2025-09-04T12:31:16+05:30,93,
2025-09-04T12:31:20+05:30,92,
2025-09-04T12:31:22+05:30,91,
2025-09-04T12:31:24+05:30,90,
2025-09-04T12:31:26+05:30,89,
2025-09-04T12:31:34+05:30,95,
2025-09-04T12:31:51+05:30,97,
2025-09-04T12:31:52+05:30,99,
2025-09-04T12:31:53+05:30,101,
2025-09-04T12:31:54+05:30,103,
2025-09-04T12:31:55+05:30,105,
2025-09-04T12:31:56+05:30,107,
2025-09-04T12:35:17+05:30,89,
2025-09-04T12:40:17+05:30,84,
2025-09-04T12:45:17+05:30,85,
2025-09-04T12:50:17+05:30,84,
2025-09-04T12:55:17+05:30,90,
2025-09-04T13:00:10+05:30,,98
2025-09-04T13:00:27+05:30,90,
2025-09-04T13:05:17+05:30,90,
2025-09-04T13:10:17+05:30,84,
2025-09-04T13:15:17+05:30,84,
2025-09-04T13:15:23+05:30,92,
2025-09-04T13:15:24+05:30,94,
2025-09-04T13:15:25+05:30,95,
2025-09-04T13:15:28+05:30,97,
2025-09-04T13:20:17+05:30,83,
2025-09-04T13:25:17+05:30,86,
2025-09-04T13:30:10+05:30,,97
2025-09-04T13:30:27+05:30,85,
2025-09-04T13:35:17+05:30,90,
2025-09-04T13:40:17+05:30,89,
2025-09-04T13:45:17+05:30,90,
2025-09-04T13:50:17+05:30,87,
2025-09-04T13:55:17+05:30,90,
2025-09-04T14:00:18+05:30,,98
2025-09-04T14:00:35+05:30,91,
2025-09-04T14:00:37+05:30,92,
2025-09-04T14:00:38+05:30,93,
2025-09-04T14:00:39+05:30,94,
2025-09-04T14:00:40+05:30,95,
2025-09-04T14:00:41+05:30,96,
2025-09-04T14:00:42+05:30,98,
2025-09-04T14:00:43+05:30,99,
2025-09-04T14:00:44+05:30,100,
2025-09-04T14:00:45+05:30,101,
2025-09-04T14:00:46+05:30,102,
2025-09-04T14:00:47+05:30,103,
2025-09-04T14:00:48+05:30,104,
2025-09-04T14:00:49+05:30,105,
2025-09-04T14:00:50+05:30,106,
2025-09-04T14:00:51+05:30,107,
2025-09-04T14:00:52+05:30,108,
2025-09-04T14:00:53+05:30,109,
2025-09-04T14:00:55+05:30,112,
2025-09-04T14:00:56+05:30,114,
2025-09-04T14:00:58+05:30,115,
2025-09-04T14:05:17+05:30,94,
2025-09-04T14:10:17+05:30,83,
2025-09-04T14:15:09+05:30,100,
2025-09-04T14:20:17+05:30,83,
2025-09-04T14:25:17+05:30,86,
2025-09-04T14:30:16+05:30,,99
2025-09-04T14:30:33+05:30,88,
2025-09-04T14:35:17+05:30,93,
2025-09-04T14:40:17+05:30,95,
2025-09-04T14:45:17+05:30,87,
2025-09-04T14:45:23+05:30,97,
2025-09-04T14:45:24+05:30,99,
2025-09-04T14:45:25+05:30,101,
2025-09-04T14:45:26+05:30,103,
2025-09-04T14:45:27+05:30,105,
2025-09-04T14:45:28+05:30,107,
2025-09-04T14:45:31+05:30,108,
2025-09-04T14:45:41+05:30,109,
2025-09-04T14:45:43+05:30,112,
2025-09-04T14:50:08+05:30,108,
2025-09-04T14:55:17+05:30,95,
2025-09-04T15:00:12+05:30,,98
2025-09-04T15:00:29+05:30,97,
2025-09-04T15:05:17+05:30,93,
2025-09-04T15:10:17+05:30,95,
2025-09-04T15:15:17+05:30,97,
2025-09-04T15:20:17+05:30,88,
2025-09-04T15:25:17+05:30,89,
2025-09-04T15:30:10+05:30,,97
2025-09-04T15:30:18+05:30,113,
2025-09-04T15:30:19+05:30,111,
2025-09-04T15:30:54+05:30,114,
2025-09-04T15:35:09+05:30,111,
2025-09-04T15:40:17+05:30,94,
